Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      353    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
     1059    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      353    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      353    0.003    0.000    0.088    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
     3583    0.007    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      413    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
     3583    0.008    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      706    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      353    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
    353/3    0.003    0.000    1.727    0.576 <frozen importlib._bootstrap_external>:777(exec_module)
     1719    0.003    0.000    0.379    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      353    0.011    0.000    0.545    0.002 <frozen importlib._bootstrap_external>:849(get_code)
      565    0.002    0.000    0.218    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      353    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:939(__init__)
      353    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
      353    0.016    0.000    0.379    0.001 <frozen importlib._bootstrap_external>:969(get_data)
      517    0.001    0.000    0.213    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       48    0.001    0.000    0.009    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       17    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
       44    0.003    0.000    2.096    0.048 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(PerformanceWarning)
        2    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
        3    0.000    0.000    0.000    0.000 __init__.py:101(get_op_result_name)
        1    0.000    0.000    0.000    0.000 __init__.py:103(EmptyDataError)
        1    0.000    0.000    0.001    0.001 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:110(ParserWarning)
        3    0.000    0.000    0.000    0.000 __init__.py:124(_maybe_match_name)
       14    0.000    0.000    0.000    0.000 __init__.py:141(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:151(MergeError)
        1    0.000    0.000    0.000    0.000 __init__.py:153(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:158(AccessorRegistrationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:16(UnsupportedFunctionCall)
        1    0.000    0.000    0.000    0.000 __init__.py:162(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:164(AbstractMethodError)
        1    0.000    0.000    0.000    0.000 __init__.py:166(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:170(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:174(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:191(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:195(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:199(c_longdouble)
        3    0.000    0.000    0.054    0.018 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:206(UTC)
        1    0.000    0.000    0.000    0.000 __init__.py:209(c_longlong)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
        2    0.000    0.000    0.000    0.000 __init__.py:211(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:213(c_ulonglong)
        1    0.000    0.000    0.000    0.000 __init__.py:220(c_ubyte)
       40    0.000    0.000    0.000    0.000 __init__.py:221(_get_frame_op_default_axis)
        1    0.000    0.000    0.000    0.000 __init__.py:227(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:232(c_char)
        1    0.000    0.000    0.001    0.001 __init__.py:236(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:237(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:24(UnsortedIndexError)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_void_p)
       62    0.000    0.000    0.000    0.000 __init__.py:246(_get_opstr)
        1    0.000    0.000    0.000    0.000 __init__.py:248(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:253(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:258(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:261(_reset_cache)
      212    0.000    0.000    0.000    0.000 __init__.py:28(set_function_name)
       96    0.000    0.000    0.000    0.000 __init__.py:292(_get_op_name)
        1    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        5    0.000    0.000    2.119    0.424 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:306(_CountryTimezoneDict)
        1    0.000    0.000    0.000    0.000 __init__.py:31(ParserError)
       23    0.003    0.000    0.007    0.000 __init__.py:313(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:318(CDLL)
        3    0.000    0.000    0.029    0.010 __init__.py:339(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:36(__deprecate_private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:365(_CountryNameDict)
        3    0.000    0.000    0.000    0.000 __init__.py:367(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:383(__getattr__)
      128    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:390(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:391(_FixedOffset)
        1    0.000    0.000    0.000    0.000 __init__.py:396(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:405(WinDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:414(HRESULT)
        1    0.000    0.000    0.000    0.000 __init__.py:427(OleDLL)
        3    0.000    0.000    0.000    0.000 __init__.py:43(private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:436(LibraryLoader)
        4    0.000    0.000    0.000    0.000 __init__.py:437(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:440(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:45(DtypeWarning)
       16    0.000    0.000    0.000    0.000 __init__.py:487(_arith_method_SERIES)
        3    0.000    0.000    0.000    0.000 __init__.py:498(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:499(CFunctionType)
        6    0.000    0.000    0.000    0.000 __init__.py:511(_comp_method_SERIES)
        6    0.000    0.000    0.000    0.000 __init__.py:537(_bool_method_SERIES)
       22    0.000    0.000    0.002    0.000 __init__.py:559(_flex_method_SERIES)
       34    0.000    0.000    0.007    0.000 __init__.py:737(_arith_method_FRAME)
        2    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
        6    0.000    0.000    0.002    0.000 __init__.py:791(_flex_comp_method_FRAME)
        6    0.000    0.000    0.000    0.000 __init__.py:826(_comp_method_FRAME)
        1    0.000    0.000    0.000    0.000 __init__.py:87(is_platform_32bit)
        3    0.000    0.000    0.000    0.000 __init__.py:99(_import_lzma)
        1    0.000    0.000    0.013    0.013 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:6702(numeric_type_aliases)
       16    0.000    0.000    0.000    0.000 _add_newdocs.py:6703(type_aliases_gen)
       19    0.000    0.000    0.001    0.000 _add_newdocs.py:6738(add_newdoc_for_scalar_type)
       27    0.000    0.000    0.000    0.000 _add_newdocs.py:6743(<genexpr>)
       34    0.000    0.000    0.000    0.000 _add_newdocs.py:6744(<genexpr>)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
      330    0.000    0.000    0.003    0.000 _asarray.py:16(asarray)
       25    0.000    0.000    0.001    0.000 _asarray.py:223(require)
       25    0.000    0.000    0.000    0.000 _asarray.py:300(<setcomp>)
       24    0.000    0.000    0.014    0.001 _asarray.py:88(asanyarray)
        1    0.000    0.000    0.034    0.034 _base.py:1(<module>)
